cond,seed,config,method,job,site,fed_auroc,fed_auprc,own_gain,local_auroc,local_auprc,prevalence,best_epoch_mean,delta_auroc,delta_auprc
1.0_0.0,456,A_gammA_S,fedadapt,alpha1.0_gamma0.0_seed456/fedadapt,site_E,0.7578950519352232,0.3037665234963397,0.0475031997467416,0.768119,0.342945,0.1071,7.6,-0.010223948064776778,-0.0391784765036603
0.5_0.75,42,A_gammA_S,fedavg,alpha0.5_gamma0.75_seed42/fedavg,site_A,0.7875929361115381,0.6412510459998455,0.0475784532058307,0.798989,0.647418,0.2914,7.2,-0.011396063888461816,-0.006166954000154545
0.5_0.75,42,A_gammA_S,fedavg,alpha0.5_gamma0.75_seed42/fedavg,site_B,0.7702462433773634,0.3889899447437406,0.0322003398191598,0.777227,0.434773,0.1381,6.6,-0.006980756622636641,-0.04578305525625942
0.5_0.75,42,A_gammA_S,fedavg,alpha0.5_gamma0.75_seed42/fedavg,site_C,0.7598281025099063,0.4588843373823665,0.0681798687854168,0.75475,0.476265,0.1742,4.2,0.005078102509906257,-0.01738066261763349
0.5_0.75,42,A_gammA_S,fedavg,alpha0.5_gamma0.75_seed42/fedavg,site_D,0.7208393961111352,0.2996497312415198,0.0157686516382168,0.730347,0.300991,0.1048,6.6,-0.009507603888864735,-0.0013412687584802296
0.5_0.75,42,A_gammA_S,fedavg,alpha0.5_gamma0.75_seed42/fedavg,site_E,0.7531086021505375,0.2552967136949834,0.0524161290322579,0.75226,0.273574,0.0848,12.0,0.000848602150537503,-0.01827728630501657
0.5_0.75,42,A_gammA_S,fedprox,alpha0.5_gamma0.75_seed42/fedprox,site_A,0.7877987719289543,0.640544266783641,0.0477842890232469,0.798989,0.647418,0.2914,7.2,-0.011190228071045638,-0.00687373321635909
0.5_0.75,42,A_gammA_S,fedprox,alpha0.5_gamma0.75_seed42/fedprox,site_B,0.7631575927491858,0.3633418903105503,0.0251116891909822,0.777227,0.434773,0.1381,6.6,-0.014069407250814181,-0.07143110968944971
0.5_0.75,42,A_gammA_S,fedprox,alpha0.5_gamma0.75_seed42/fedprox,site_C,0.7590655327876806,0.458469089015691,0.0674172990631911,0.75475,0.476265,0.1742,4.2,0.004315532787680598,-0.017795910984308994
0.5_0.75,42,A_gammA_S,fedprox,alpha0.5_gamma0.75_seed42/fedprox,site_D,0.7347516613820961,0.2786688365854795,0.0296809169091777,0.730347,0.300991,0.1048,6.6,0.004404661382096164,-0.022322163414520535
0.5_0.75,42,A_gammA_S,fedprox,alpha0.5_gamma0.75_seed42/fedprox,site_E,0.753705376344086,0.2561408645708631,0.0530129032258063,0.75226,0.273574,0.0848,12.0,0.0014453763440859246,-0.01743313542913688
0.5_0.75,42,A_gammA_S,fedadaptproto,alpha0.5_gamma0.75_seed42/fedadaptproto,site_A,0.7886186019366753,0.6466571675346295,0.0486041190309679,0.798989,0.647418,0.2914,7.2,-0.010370398063324626,-0.000760832465370509
0.5_0.75,42,A_gammA_S,fedadaptproto,alpha0.5_gamma0.75_seed42/fedadaptproto,site_B,0.7754217078315477,0.3931961975540006,0.0373758042733441,0.777227,0.434773,0.1381,6.6,-0.001805292168452266,-0.04157680244599943
0.5_0.75,42,A_gammA_S,fedadaptproto,alpha0.5_gamma0.75_seed42/fedadaptproto,site_C,0.7317939609236234,0.4312200089059811,0.0401457271991338,0.75475,0.476265,0.1742,4.2,-0.022956039076376666,-0.04504499109401888
0.5_0.75,42,A_gammA_S,fedadaptproto,alpha0.5_gamma0.75_seed42/fedadaptproto,site_D,0.7285807489611839,0.2859660276350171,0.0235100044882654,0.730347,0.300991,0.1048,6.6,-0.0017662510388161135,-0.015024972364982903
0.5_0.75,42,A_gammA_S,fedadaptproto,alpha0.5_gamma0.75_seed42/fedadaptproto,site_E,0.7487483870967742,0.2630973565714692,0.0480559139784945,0.75226,0.273574,0.0848,12.0,-0.0035116129032258803,-0.010476643428530774
0.5_0.75,42,A_gammA_S,scaffold,alpha0.5_gamma0.75_seed42/scaffold,site_A,0.7829535703834498,0.6249235726740492,0.0429390874777424,0.798989,0.647418,0.2914,7.2,-0.016035429616550134,-0.02249442732595086
0.5_0.75,42,A_gammA_S,scaffold,alpha0.5_gamma0.75_seed42/scaffold,site_B,0.7612723781818599,0.3713585624836019,0.0232264746236563,0.777227,0.434773,0.1381,6.6,-0.015954621818140113,-0.06341443751639814
0.5_0.75,42,A_gammA_S,scaffold,alpha0.5_gamma0.75_seed42/scaffold,site_C,0.7487501807816151,0.4405964253164345,0.0571019470571256,0.75475,0.476265,0.1742,4.2,-0.005999819218384883,-0.03566857468356549
0.5_0.75,42,A_gammA_S,scaffold,alpha0.5_gamma0.75_seed42/scaffold,site_D,0.7390661874357527,0.2734224223329347,0.0339954429628343,0.730347,0.300991,0.1048,6.6,0.008719187435752729,-0.02756857766706533
0.5_0.75,42,A_gammA_S,scaffold,alpha0.5_gamma0.75_seed42/scaffold,site_E,0.734979569892473,0.2242100919366297,0.0342870967741933,0.75226,0.273574,0.0848,12.0,-0.017280430107527,-0.04936390806337029
0.5_0.75,42,A_gammA_S,fedadapt,alpha0.5_gamma0.75_seed42/fedadapt,site_A,0.7856629153295606,0.636613016849869,0.0456484324238531,0.798989,0.647418,0.2914,7.2,-0.013326084670439386,-0.010804983150131009
0.5_0.75,42,A_gammA_S,fedadapt,alpha0.5_gamma0.75_seed42/fedadapt,site_B,0.7709469679854204,0.4018601590913221,0.0329010644272168,0.777227,0.434773,0.1381,6.6,-0.006280032014579606,-0.03291284090867791
0.5_0.75,42,A_gammA_S,fedadapt,alpha0.5_gamma0.75_seed42/fedadapt,site_C,0.7547799911221358,0.4545076431335825,0.0631317573976463,0.75475,0.476265,0.1742,4.2,2.9991122135752946e-05,-0.0217573568664175
0.5_0.75,42,A_gammA_S,fedadapt,alpha0.5_gamma0.75_seed42/fedadapt,site_D,0.7148336265184091,0.2945732811060233,0.0097628820454906,0.730347,0.300991,0.1048,6.6,-0.015513373481590875,-0.006417718893976687
0.5_0.75,42,A_gammA_S,fedadapt,alpha0.5_gamma0.75_seed42/fedadapt,site_E,0.7548967741935484,0.2640619752965799,0.0542043010752687,0.75226,0.273574,0.0848,12.0,0.0026367741935483524,-0.009512024703420108
10.0_0.75,456,A_gammA_S,fedavg,alpha10.0_gamma0.75_seed456/fedavg,site_A,0.8124034339848066,0.5505577021284895,0.0707803859650904,0.80937,0.541191,0.1902,7.8,0.0030334339848065994,0.009366702128489557
10.0_0.75,456,A_gammA_S,fedavg,alpha10.0_gamma0.75_seed456/fedavg,site_B,0.7707892882311487,0.4602560307677635,0.042091443274924,0.783855,0.49992,0.1693,7.6,-0.013065711768851296,-0.03966396923223647
10.0_0.75,456,A_gammA_S,fedavg,alpha10.0_gamma0.75_seed456/fedavg,site_C,0.7575541697421666,0.4932945441771453,0.0389559156820731,0.777581,0.512284,0.1742,6.6,-0.02002683025783336,-0.01898945582285466
10.0_0.75,456,A_gammA_S,fedavg,alpha10.0_gamma0.75_seed456/fedavg,site_D,0.745033281330922,0.3887813655001279,0.0534651251529654,0.754943,0.424935,0.1647,5.6,-0.009909718669078083,-0.036153634499872134
10.0_0.75,456,A_gammA_S,fedavg,alpha10.0_gamma0.75_seed456/fedavg,site_E,0.7659444915651787,0.4592907824251921,0.0395027072908266,0.788861,0.495944,0.162,9.8,-0.022916508434821292,-0.036653217574807884
10.0_0.75,456,A_gammA_S,fedprox,alpha10.0_gamma0.75_seed456/fedprox,site_A,0.8132602943109325,0.5496730515495373,0.0716372462912162,0.80937,0.541191,0.1902,7.8,0.003890294310932463,0.008482051549537295
10.0_0.75,456,A_gammA_S,fedprox,alpha10.0_gamma0.75_seed456/fedprox,site_B,0.770440689272933,0.4587121354986355,0.0417428443167083,0.783855,0.49992,0.1693,7.6,-0.013414310727067003,-0.04120786450136449
10.0_0.75,456,A_gammA_S,fedprox,alpha10.0_gamma0.75_seed456/fedprox,site_C,0.7574024418651026,0.492627260438593,0.0388041878050091,0.777581,0.512284,0.1742,6.6,-0.02017855813489733,-0.019656739561406955
